baller6,exclusivo,92000,6500,2167,1625,20000,20000  
blazer3,exclusivo,12000,4500,1500,1125,0,20000  
chimera,exclusivo,25000,417,313,208,0,20000  
dukes3,exclusivo,50000,2750,2750,2750,20000,20000  
issi7,exclusivo,15000,292,100,70,20000,20000  
novak,exclusivo,45000,7000,2333,1750,20000,20000  
seasparrow2,exclusivo,800000,11000,3667,2750,20000,0  
bullet,super,180000,20000,10000,6666,20000,20000  
cheetah,super,1000000,20000,10000,6666,20000,20000  
infernus,super,840000,21000,10500,7000,20000,20000  
italigtb,super,1300000,21000,10500,7000,20000,20000  
pfister811,super,1000000,20000,10000,6666,20000,20000  
sc1,super,3100000,20000,10000,6666,20000,20000  
sheava,super,800000,20000,10000,6666,20000,20000  
sultanrs,super,35000,20000,10000,6666,20000,20000  
t20,super,1200000,20000,10000,6666,20000,20000  
tezeract,super,1200000,20000,10000,6666,20000,20000  
zorrusso,super,1200000,22000,11000,7334,20000,20000  
tempesta,super,9900000,20000,10000,6666,20000,20000  
turismor,super,900000,20000,10000,6666,20000,20000  
vacca,super,820000,21000,10500,7000,20000,20000  
visione,super,3200000,20000,10000,6666,20000,20000  
caddy,utlidad,24000,2500,833,625,20000,20000  
caddy2,utlidad,24000,3000,1000,750,20000,20000  
sadler,utlidad,40000,5000,1667,1250,20000,20000  
sadler2,utlidad,40000,5000,1667,1250,20000,20000  
gruagrande,utlidad,56000,5000,1667,1250,20000,20000  
gruapequeña,utlidad,35000,4500,1500,1125,20000,20000  
supervolito,helicoptero,2000000,9500,3167,2375,20000,20000  
swift,helicoptero,2500000,12500,4167,3125,20000,20000  
volatus,helicoptero,4100000,11500,3833,2875,20000,20000  
annihilator,helicoptero,50000,13500,4500,3375,20000,20000  
akuma,moto,12000,500,375,250,0,20000  
avarus,moto,15000,500,375,250,0,20000  
bagger,moto,16000,500,375,250,0,20000  
bati,moto,14000,500,375,250,0,20000  
bati2,moto,15000,500,375,250,0,20000  
bf400,moto,13000,500,375,250,0,20000  
carbonrs,moto,18000,500,375,250,0,20000  
cliffhanger,moto,15000,500,375,250,0,20000  
daemon,moto,19000,500,375,250,0,20000  
defiler,moto,16000,500,375,250,0,20000  
diablous,moto,18000,500,375,250,0,20000  
double,moto,16000,500,375,250,0,20000  
enduro,moto,8000,500,375,250,0,20000  
esskey,moto,14000,500,375,250,0,20000  
faggio,moto,5000,500,375,250,0,20000  
faggio2,moto,4000,333,250,167,0,20000  
faggio3,moto,4000,333,250,167,0,20000  
fcr,moto,12000,500,375,250,0,20000  
fcr2,moto,14000,500,375,250,0,20000  
gargoyle,moto,17000,500,375,250,0,20000  
innovation,moto,16000,500,375,250,0,20000  
lectro,moto,15000,500,375,250,0,20000  
manchez,moto,15000,500,375,250,0,20000  
nemesis,moto,15000,500,375,250,0,20000  
pcj,moto,12000,500,375,250,0,20000  
ratbike,moto,15000,500,375,250,0,20000  
ruffian,moto,18000,500,375,250,0,20000  
sanchez,moto,12000,500,375,250,0,20000  
sanchez2,moto,12000,500,375,250,0,20000  
sovereign,moto,15000,500,375,250,0,20000  
thrust,moto,16000,500,375,250,0,20000  
vader,moto,14000,500,375,250,0,20000  
vindicator,moto,13000,500,375,250,0,20000  
vortex,moto,19000,500,375,250,0,20000  
wolfsbane,moto,15000,500,375,250,0,20000  
zombieb,moto,16000,500,375,250,0,20000  
manchez2,moto,12000,500,375,250,0,20000  
nimbus,moto,1000000,21000,7000,5250,20000,0  
vestra,Avión,700000,14500,4833,3625,20000,0  
mogul,Avión,410000,15500,5167,3875,20000,0
